站名,座標,緯度,經度
百吉國小,24.82396+121.31187,24.82396,121.31187
東陽宮,24.94958+121.3495,24.94958,121.3495
一二三幼稚園,24.9482+121.34586,24.9482,121.34586
楊梅後火車站,24.91524+121.14585,24.91524,121.14585
龍安街,24.87761+121.22873,24.87761,121.22873
成功新村,24.87299+121.22567,24.87299,121.22567
黃泥塘(成功路),24.87161+121.22511,24.87161,121.22511
八大坵,25.01096+121.20274,25.01096,121.20274
北富里,24.92507+121.2279,24.92507,121.2279
平鎮區公所(振興路),24.94538+121.2198,24.94538,121.2198
陳屋,24.89889+121.22901,24.89889,121.22901
山峰,24.89622+121.22639,24.89622,121.22639
上隘寮,24.89421+121.22404,24.89421,121.22404
隘寮頂,24.89252+121.22369,24.89252,121.22369
福德祠,24.91619+121.20686,24.91619,121.20686
活動中心,25.00867+121.20186,25.00867,121.20186
力捷公司,25.03656+121.3017,25.03656,121.3017
中正路420巷口,24.94196+121.07581,24.94196,121.07581
羊稠活動中心,25.05282+121.29924,25.05282,121.29924
環北新生路口,24.96591+121.22427,24.96591,121.22427
環北路,24.96614+121.21854,24.96614,121.21854
新光大樓,24.98915+121.30862,24.98915,121.30862
大園舊站,25.064+121.19676,25.064,121.19676
桃園火車站,24.98985+121.31541,24.98985,121.31541
圳頭國小,25.07299+121.20566,25.07299,121.20566
大園國中,25.05509+121.17175,25.05509,121.17175
明碁電腦,24.98844+121.325,24.98844,121.325
頂南崁,25.0435+121.29803,25.0435,121.29803
甘蔗園,25.04006+121.30019,25.04006,121.30019
南上里,25.03799+121.30105,25.03799,121.30105
童話森林社區,24.93447+121.13702,24.93447,121.13702
介壽保羅路口,24.98283+121.30867,24.98283,121.30867
湖山街305號,24.98258+121.34833,24.98258,121.34833
森林公園,24.93336+121.23678,24.93336,121.23678
龍恩里公園,24.93098+121.23078,24.93098,121.23078
城市CRV,24.9404+121.22199,24.9404,121.22199
平鎮圖書分館,24.94035+121.21717,24.94035,121.21717
平鎮地政所,24.94039+121.21489,24.94039,121.21489
環南路二段,24.94275+121.2111,24.94275,121.2111
帝國大廈,24.94437+121.20916,24.94437,121.20916
平興國小,24.94392+121.20376,24.94392,121.20376
復興親子公園,24.94992+121.20481,24.94992,121.20481
陽明醫院,24.95106+121.21182,24.95106,121.21182
中壢後火車站,24.95225+121.22551,24.95225,121.22551
金陵路口,24.94931+121.22243,24.94931,121.22243
新光路口,24.93979+121.20584,24.93979,121.20584
宏太社區,24.98755+121.28349,24.98755,121.28349
永裕路口,25.00594+121.20133,25.00594,121.20133
頭洲新城,24.96335+121.1433,24.96335,121.1433
中正一路口,24.92988+121.28303,24.92988,121.28303
郵局(范姜古厝),24.97289+121.10429,24.97289,121.10429
桃客新屋站,24.97291+121.1025,24.97291,121.1025
尖山國中,24.94516+121.34144,24.94516,121.34144
白沙岬燈塔,25.04219+121.07745,25.04219,121.07745
福人步道,24.8976+121.1506,24.8976,121.1506
東坡,24.97332+121.07569,24.97332,121.07569
葉厝,24.96875+121.07045,24.96875,121.07045
上糠榔,24.96642+121.05959,24.96642,121.05959
大庄埔,24.96534+121.05463,24.96534,121.05463
警訓中心,24.96357+121.04979,24.96357,121.04979
學堂坡,24.96204+121.04522,24.96204,121.04522
大坡國中,24.96005+121.04083,24.96005,121.04083
大坡派出所,24.95902+121.03845,24.95902,121.03845
洽溪口,24.95563+121.0289,24.95563,121.0289
桃園區農業改良場,24.95369+121.02452,24.95369,121.02452
後庄社區活動中心,24.95146+121.0194,24.95146,121.0194
埔頂社區,24.94793+121.00446,24.94793,121.00446
蚵間國小,24.94908+121.00949,24.94908,121.00949
蚵間活動中心,24.94571+120.99971,24.94571,120.99971
蚵間里,24.94067+120.99382,24.94067,120.99382
蚵間里福興宮,24.93988+120.98961,24.93988,120.98961
北勢派出所,24.94209+121.22076,24.94209,121.22076
振平街口,24.94184+121.22283,24.94184,121.22283
南東路,24.91906+121.22015,24.91906,121.22015
麗新社區,24.94302+121.33929,24.94302,121.33929
二橋,24.94167+121.33879,24.94167,121.33879
芭里國小,24.9969+121.20762,24.9969,121.20762
二橋國小,24.94081+121.33784,24.94081,121.33784
鶯歌高職,24.93938+121.33531,24.93938,121.33531
三口坡,24.93785+121.33207,24.93785,121.33207
頂橋頭,24.93664+121.3299,24.93664,121.3299
橋仔頭,24.93537+121.32806,24.93537,121.32806
福德橋,24.93453+121.32328,24.93453,121.32328
咸豐,24.93284+121.32011,24.93284,121.32011
中新派出所,24.93012+121.3183,24.93012,121.3183
中新,24.92811+121.31475,24.92811,121.31475
中興國小,24.92505+121.31094,24.92505,121.31094
芝芭里,24.9941+121.2089,24.9941,121.2089
埔尾,24.92339+121.3079,24.92339,121.3079
公館,24.91892+121.30158,24.91892,121.30158
五甲,24.91069+121.29649,24.91069,121.29649
下崁,24.90645+121.2949,24.90645,121.2949
瑞興,24.89915+121.29062,24.89915,121.29062
缺子,24.89705+121.28866,24.89705,121.28866
長崎腳,24.89501+121.2851,24.89501,121.2851
栗子園,24.89267+121.27949,24.89267,121.27949
排水橋,24.92193+121.30584,24.92193,121.30584
農場,24.99179+121.20918,24.99179,121.20918
第二市場,24.86489+121.2171,24.86489,121.2171
