站名,座標,緯度,經度
建安家園,24.91425+121.25469,24.91425,121.25469
洪圳路口,24.91131+121.25447,24.91131,121.25447
霄裡池,24.91047+121.2555,24.91047,121.2555
建國十一村,25.05536+121.22673,25.05536,121.22673
雙溪口,25.0389+121.1825,25.0389,121.1825
金城家園,24.90844+121.25823,24.90844,121.25823
英業達,24.90705+121.26012,24.90705,121.26012
太平洋電纜,24.90542+121.2624,24.90542,121.2624
南興,24.90394+121.26437,24.90394,121.26437
元翔社區,24.90306+121.2672,24.90306,121.2672
保固,24.90285+121.26968,24.90285,121.26968
碧寶,24.90228+121.27299,24.90228,121.27299
埔頂廟,24.90152+121.27522,24.90152,121.27522
金仙寺,24.89441+121.27988,24.89441,121.27988
麻園(G03),24.94762+121.29766,24.94762,121.29766
合隆公司,25.03672+121.18065,25.03672,121.18065
成功路,24.99272+121.31244,24.99272,121.31244
東眼山國家森林遊樂區(下客站),24.83152+121.4079,24.83152,121.4079
東眼山國家森林遊樂區(上客站),24.83224+121.40862,24.83224,121.40862
建漢公司,24.89869+121.28128,24.89869,121.28128
瑞源,24.88178+121.26508,24.88178,121.26508
大興同安街口,25.01438+121.30508,25.01438,121.30508
大興西新埔六街口,25.01305+121.30221,25.01305,121.30221
新厝江,24.88028+121.26181,24.88028,121.26181
虎頭山創新園區,24.9975+121.32495,24.9975,121.32495
仁德路口,25.05757+121.19738,25.05757,121.19738
紅土厝,25.03051+121.1793,25.03051,121.1793
琪隆廠,24.89833+121.13607,24.89833,121.13607
強勝廠,24.89831+121.13403,24.89831,121.13403
里辦公處,24.89574+121.12956,24.89574,121.12956
潤泰工廠,24.89323+121.12533,24.89323,121.12533
廣宇,24.89194+121.12436,24.89194,121.12436
梅園,24.89145+121.11674,24.89145,121.11674
八股路口,25.06443+121.26324,25.06443,121.26324
桃園後火車站,24.98833+121.31431,24.98833,121.31431
崎頂路口,25.02873+121.18181,25.02873,121.18181
群益幼稚園,24.96375+121.2647,24.96375,121.2647
萊茵城堡,24.87937+121.25928,24.87937,121.25928
忠烈祠,25.00581+121.32441,25.00581,121.32441
三元成功路三段221巷口,25.00765+121.32267,25.00765,121.32267
草厝江,24.87831+121.25636,24.87831,121.25636
雄華,24.87671+121.25353,24.87671,121.25353
馮媽崎,24.87585+121.25133,24.87585,121.25133
九座寮,24.8793+121.24772,24.8793,121.24772
郡國社區,24.8777+121.24381,24.8777,121.24381
中興里,24.87678+121.24152,24.87678,121.24152
國防大學,24.87554+121.23868,24.87554,121.23868
雙叉港,25.02686+121.18327,25.02686,121.18327
九龍里,24.87468+121.23605,24.87468,121.23605
郵局,24.87415+121.23419,24.87415,121.23419
聯合社區,24.87308+121.23062,24.87308,121.23062
黃泥塘,24.87152+121.22552,24.87152,121.22552
龍潭運動公園,24.86858+121.21859,24.86858,121.21859
民生街505巷,24.94589+121.08735,24.94589,121.08735
新興路1155巷口,24.93894+121.27206,24.93894,121.27206
伯公廟,24.9413+121.27483,24.9413,121.27483
郭厝,25.02469+121.18412,25.02469,121.18412
捷運桃園體育園區站,25.00197+121.20335,25.00197,121.20335
中正莊敬路口,25.02234+121.29548,25.02234,121.29548
青昇二街口,25.01798+121.22024,25.01798,121.22024
國立體育大學志清湖,25.03381+121.38657,25.03381,121.38657
民生街221巷,24.94023+121.08695,24.94023,121.08695
劉屋(晴耕雨讀小書院),24.88805+121.22333,24.88805,121.22333
中華民族路口,24.99051+121.30924,24.99051,121.30924
捷運領航站,25.02311+121.22142,25.02311,121.22142
大業向善街口,25.01918+121.31057,25.01918,121.31057
向陽運動公園,24.99855+121.29646,24.99855,121.29646
龍元宮,24.86512+121.21391,24.86512,121.21391
大同富山五街口,24.85856+121.22051,24.85856,121.22051
梅龍路700巷口,24.87829+121.18761,24.87829,121.18761
龍潭科學園區大門,24.89521+121.18429,24.89521,121.18429
南竹蘆興街口,25.03678+121.27998,25.03678,121.27998
大溪總站,24.88113+121.28805,24.88113,121.28805
三板橋,24.87523+121.28651,24.87523,121.28651
大溪高中,24.86937+121.28491,24.86937,121.28491
邱厝,25.03271+121.14371,25.03271,121.14371
至善高中,24.86674+121.28409,24.86674,121.28409
榮民工廠,24.96066+121.26424,24.96066,121.26424
大成大智路口,25.0231+121.2176,25.0231,121.2176
太子地球村,24.99974+121.34678,24.99974,121.34678
中正信光街口,25.00478+121.3048,25.00478,121.3048
中正慈文路口,25.00686+121.30336,25.00686,121.30336
新埔公園,25.01529+121.3037,25.01529,121.3037
榮興南路永興宮,24.94831+121.30578,24.94831,121.30578
大安社區活動中心,24.9572+121.31288,24.9572,121.31288
噶舉瑪倉派佛學院,25.07058+121.27498,25.07058,121.27498
坑口二站,25.09113+121.27318,25.09113,121.27318
貿易一村,24.98835+121.33146,24.98835,121.33146
山頂里,24.9874+121.33053,24.9874,121.33053
南山長榮路口,25.05779+121.28912,25.05779,121.28912
中壢客運桃園站,24.99074+121.31348,24.99074,121.31348
藝墅天地,24.94846+121.28952,24.94846,121.28952
家榮社區,24.93301+121.30002,24.93301,121.30002
生態公園,24.94089+121.31132,24.94089,121.31132
和平社區活動中心,24.95554+121.31632,24.95554,121.31632
桃園農工,24.99549+121.32112,24.99549,121.32112
潛龍國小,24.88157+121.21172,24.88157,121.21172
第一製藥廠,24.94055+121.2165,24.94055,121.2165
體育館,24.99584+121.32246,24.99584,121.32246
新科廠,24.84559+121.19885,24.84559,121.19885
雄獅文具,24.84213+121.19669,24.84213,121.19669
白宮,24.83842+121.19511,24.83842,121.19511
渴望園區,24.83324+121.19369,24.83324,121.19369
高原,24.83017+121.19282,24.83017,121.19282
小人國,24.8312+121.18712,24.8312,121.18712
福源路,24.82759+121.19005,24.82759,121.19005
基地醫院,25.05735+121.22964,25.05735,121.22964
台全,24.82727+121.18842,24.82727,121.18842
橫岡下,24.82666+121.18708,24.82666,121.18708
六福村,24.82189+121.18494,24.82189,121.18494
六福村門口,24.82557+121.18065,24.82557,121.18065
車頭,24.83799+121.20852,24.83799,121.20852
龜山國小,24.99265+121.33897,24.99265,121.33897
國際慈文路口,24.99999+121.28782,24.99999,121.28782
吉安街101巷,25.00473+121.29193,25.00473,121.29193
賦梅路50巷,24.94406+121.20062,24.94406,121.20062
下月眉,25.0205+121.18477,25.0205,121.18477
福元宮,25.10835+121.24197,25.10835,121.24197
莊敬中正路口,25.02374+121.29582,25.02374,121.29582
長壽路,24.99716+121.33264,24.99716,121.33264
中埔一街口,25.01085+121.29718,25.01085,121.29718
長榮,25.04211+121.2952,25.04211,121.2952
陸光新城,24.99596+121.3326,24.99596,121.3326
龍廷社區,25.00338+121.35043,25.00338,121.35043
裕元紡織,25.00776+121.35371,25.00776,121.35371
儲水池,25.01014+121.35578,25.01014,121.35578
舊路坑,25.01315+121.35998,25.01315,121.35998
紅崁,25.01794+121.18504,25.01794,121.18504
中央造幣廠,25.01475+121.36057,25.01475,121.36057
舊路橋,25.01702+121.36201,25.01702,121.36201
北天宮,25.01953+121.36256,25.01953,121.36256
集會地,25.02184+121.36376,25.02184,121.36376
西勢湖,25.02469+121.36803,25.02469,121.36803
大埔橋,25.02824+121.37357,25.02824,121.37357
振天宮,25.03078+121.37666,25.03078,121.37666
體育大學行政教學大樓,25.03127+121.38807,25.03127,121.38807
長庚科技大學,25.03114+121.38995,25.03114,121.38995
詹厝,25.015+121.18457,25.015,121.18457
大埔,25.0331+121.37963,25.0331,121.37963
鎮南宮,24.92799+121.28232,24.92799,121.28232
捷運坑口站,25.08676+121.26554,25.08676,121.26554
國際村,25.02367+121.29589,25.02367,121.29589
桃林鐵路長興站,25.07322+121.2824,25.07322,121.2824
長興路三段217號,25.07238+121.27776,25.07238,121.27776
建國十九村,25.04342+121.25143,25.04342,121.25143
大華集會所,25.04148+121.25526,25.04148,121.25526
興仁公園,24.9662+121.26297,24.9662,121.26297
新中北華美路口,24.95625+121.2615,24.95625,121.2615
仁愛里,24.95693+121.25835,24.95693,121.25835
功學社區,24.95689+121.25603,24.95689,121.25603
營頭厝,24.95692+121.25043,24.95692,121.25043
中原大學信實宿舍,24.95762+121.2454,24.95762,121.2454
中原國小,24.95659+121.23853,24.95659,121.23853
新中北路口,24.95579+121.23605,24.95579,121.23605
東勇二路口,24.96783+121.30682,24.96783,121.30682
大安活動中心,24.9572+121.31288,24.9572,121.31288
國產電子,24.96242+121.30678,24.96242,121.30678
大坪頂公園,25.05394+121.367,25.05394,121.367
五福,25.01613+121.22841,25.01613,121.22841
文興街口,25.05017+121.17594,25.05017,121.17594
園八街口,25.05324+121.1778,25.05324,121.1778
園九街口,25.05183+121.17628,25.05183,121.17628
成功社區,25.09987+121.23878,25.09987,121.23878
民豐一街47號,24.87838+121.24275,24.87838,121.24275
月眉,25.011+121.18414,25.011,121.18414
高原國小,24.82972+121.19337,24.82972,121.19337
富鑽工業城,24.83311+121.21416,24.83311,121.21416
代天宮,25.00098+121.32899,25.00098,121.32899
虎頭山公園,25.00257+121.32712,25.00257,121.32712
文德路口,25.05644+121.37821,25.05644,121.37821
中國科技大樓,25.05531+121.36134,25.05531,121.36134
文化七路口,25.05452+121.36007,25.05452,121.36007
大崗國小,25.05399+121.35929,25.05399,121.35929
婦幼館,25.05084+121.35897,25.05084,121.35897
雙圳口,25.0044+121.18166,25.0044,121.18166
工四工業區,25.04636+121.36031,25.04636,121.36031
頂湖路,25.04382+121.36135,25.04382,121.36135
長庚醫院桃園分院,25.02986+121.36649,25.02986,121.36649
三聖宮,25.00043+121.33171,25.00043,121.33171
醫學大樓,25.05978+121.36517,25.05978,121.36517
文桃路(樂安街435巷口),25.0468+121.39298,25.0468,121.39298
中央中豐路口,24.95803+121.21973,24.95803,121.21973
豐田路,24.92738+121.28991,24.92738,121.28991
建國公園,24.95615+121.29488,24.95615,121.29488
和平路口,24.95759+121.30001,24.95759,121.30001
鳥仔厝,25.00174+121.1814,25.00174,121.1814
國民運動中心,24.96414+121.21477,24.96414,121.21477
光明社區,25.10883+121.25185,25.10883,121.25185
航空城聯合服務中心,25.07105+121.20495,25.07105,121.20495
南和園學路口,25.04731+121.16868,25.04731,121.16868
大同龍華路口,24.85732+121.21714,24.85732,121.21714
大同路,24.9565+121.22176,24.9565,121.22176
中美路,24.95964+121.2233,24.95964,121.2233
建德長興路口,24.93145+121.28102,24.93145,121.28102
烏仔厝,25.00163+121.18138,25.00163,121.18138
下烏仔厝,24.99894+121.18073,24.99894,121.18073
下鳥仔厝,24.99888+121.1807,24.99888,121.1807
南方莊園,24.96757+121.17735,24.96757,121.17735
中平國小(雙福路),24.96054+121.17691,24.96054,121.17691
供應站,24.92631+121.24574,24.92631,121.24574
貿易七村,24.92906+121.25146,24.92906,121.25146
基安二村,24.93323+121.25587,24.93323,121.25587
晉元榮民南路口,24.94926+121.25751,24.94926,121.25751
晉元華勛街口,24.95034+121.26079,24.95034,121.26079
晉元仁德三街口,24.95134+121.2627,24.95134,121.2627
仁美新村,24.95214+121.265,24.95214,121.265
仁德公園,24.9529+121.26676,24.9529,121.26676
大崙國中,24.99108+121.17974,24.99108,121.17974
崁頂廣福路口,24.95551+121.26608,24.95551,121.26608
廣福路1142巷,24.95839+121.27129,24.95839,121.27129
廣福路879巷,24.96012+121.27769,24.96012,121.27769
中祥食品,24.96033+121.28416,24.96033,121.28416
橋頭,25.05867+121.23168,25.05867,121.23168
廣福路530巷,24.96011+121.28652,24.96011,121.28652
廣福路389巷,24.95982+121.28895,24.95982,121.28895
廣福路(廣隆街口),24.95956+121.29179,24.95956,121.29179
景雲新村,24.95952+121.29479,24.95952,121.29479
捷運永寧站,24.96589+121.43613,24.96589,121.43613
中央塗料公司,24.99359+121.17947,24.99359,121.17947
榮民南仁慈路口,24.94548+121.25685,24.94548,121.25685
榮民南華勛街口,24.94298+121.258,24.94298,121.258
仁德廣興路口,24.93609+121.28371,24.93609,121.28371
溪濱公園,24.93564+121.28098,24.93564,121.28098
台北新境,25.0812+121.38862,25.0812,121.38862
中壢北站,24.95433+121.22618,24.95433,121.22618
仁安魏屋,24.80899+121.19684,24.80899,121.19684
領航北民權路口,25.00774+121.20235,25.00774,121.20235
水尾橋,24.91418+121.1424,24.91418,121.1424
捷運高鐵桃園站,25.01276+121.21386,25.01276,121.21386
領航北公園路口,25.00896+121.20396,25.00896,121.20396
華勛園,24.94882+121.26116,24.94882,121.26116
義民路口,24.95459+121.21697,24.95459,121.21697
育達路口,24.95116+121.21345,24.95116,121.21345
育達商職,24.95179+121.20942,24.95179,121.20942
上中原,24.94653+121.20107,24.94653,121.20107
下中原,24.94578+121.19974,24.94578,121.19974
七星工廠,24.94361+121.19617,24.94361,121.19617
水美國小,24.91823+121.13787,24.91823,121.13787
下中福,25.01988+121.25033,25.01988,121.25033
新庄社區,25.02211+121.24789,25.02211,121.24789
吉安街口,25.00334+121.28818,25.00334,121.28818
中興莊,24.93998+121.2307,24.93998,121.2307
龍泉街口,24.93603+121.23334,24.93603,121.23334
龍岡森林公園,24.93324+121.23671,24.93324,121.23671
崁頂路,24.93439+121.25995,24.93439,121.25995
霄裡,24.93339+121.26405,24.93339,121.26405
霄裡農會,24.93318+121.26608,24.93318,121.26608
頂湖橋,24.91863+121.13673,24.91863,121.13673
竹頭坡,24.93274+121.27087,24.93274,121.27087
興仁路,24.92578+121.28357,24.92578,121.28357
南崁,25.0477+121.29198,25.0477,121.29198
台灣松下,25.05891+121.27508,25.05891,121.27508
三商,25.06099+121.2705,25.06099,121.2705
菓林,25.07555+121.26044,25.07555,121.26044
崁下,25.07874+121.25925,25.07874,121.25925
桃園機場貨運站,25.08817+121.24474,25.08817,121.24474
桃園機場航郵中心,25.08619+121.2418,25.08619,121.2418
桃園機場第二航廈,25.07787+121.23272,25.07787,121.23272
頂湖,24.9209+121.1282,24.9209,121.1282
桃園機場第一航廈,25.08064+121.23692,25.08064,121.23692
大湳消防分隊,24.95673+121.296,24.95673,121.296
電信器材場,24.94088+121.25124,24.94088,121.25124
松勤松義三街口,24.96035+121.16439,24.96035,121.16439
高鐵南過嶺路口,24.967+121.16948,24.967,121.16948
高鐵南文德路口,25.00449+121.20654,25.00449,121.20654
明興街口,24.98643+121.33023,24.98643,121.33023
福豐國中,24.97614+121.31458,24.97614,121.31458
綠園新村,25.02562+121.2573,25.02562,121.2573
捷運新莊站(新莊郵局),25.03564+121.44978,25.03564,121.44978
新泰路口,25.03526+121.44809,25.03526,121.44809
海山里,25.0348+121.44595,25.0348,121.44595
三洋,25.03031+121.42676,25.03031,121.42676
迴龍派出所,25.01971+121.40918,25.01971,121.40918
大慶連莊,25.01678+121.40041,25.01678,121.40041
龍壽里,25.0165+121.39659,25.0165,121.39659
福惠寺,25.01626+121.39277,25.01626,121.39277
尖山腳,25.01238+121.38745,25.01238,121.38745
南龍壽,25.01163+121.37921,25.01163,121.37921
瑞上,24.92249+121.12113,24.92249,121.12113
東影,25.01138+121.37357,25.01138,121.37357
六股,25.00847+121.36951,25.00847,121.36951
壽山巖,25.003+121.36698,25.003,121.36698
嶺頂,25.00194+121.36314,25.00194,121.36314
半嶺,25.00101+121.34827,25.00101,121.34827
國際大郡,24.98722+121.28841,24.98722,121.28841
迪斯奈社區,24.99263+121.28569,24.99263,121.28569
桃園戶政事務所,24.98854+121.27911,24.98854,121.27911
國豐六街口,24.99092+121.27728,24.99092,121.27728
富鳳,24.92304+121.11805,24.92304,121.11805
龍安市場,24.98923+121.28014,24.98923,121.28014
中央延平路口,24.95709+121.22403,24.95709,121.22403
華宏補習班,24.95992+121.21346,24.95992,121.21346
麗寶麗池,24.93794+121.2496,24.93794,121.2496
美食天地,24.93554+121.24951,24.93554,121.24951
龍川街,24.93472+121.24856,24.93472,121.24856
老坑溪橋,24.90728+121.14909,24.90728,121.14909
蘆竹區公所,25.04645+121.29485,25.04645,121.29485
玉尊宮,24.97737+121.23631,24.97737,121.23631
吉林路口,24.98051+121.24892,24.98051,121.24892
土地宮,24.97954+121.23634,24.97954,121.23634
石店子,24.92421+121.11259,24.92421,121.11259
桃園大圳橋,24.98487+121.23798,24.98487,121.23798
美和園社區,25.00157+121.36029,25.00157,121.36029
捷運輔大站,25.0322+121.43276,25.0322,121.43276
中堅,24.93551+121.25764,24.93551,121.25764
龍文街正義路口,24.93615+121.25601,24.93615,121.25601
村口,25.04311+121.25461,25.04311,121.25461
建國六村,25.03975+121.2552,25.03975,121.2552
大華國小,25.03868+121.2542,25.03868,121.2542
橋頂,25.03699+121.25291,25.03699,121.25291
建國五村,25.03464+121.2517,25.03464,121.2517
亞洲化學,24.9257+121.10882,24.9257,121.10882
醒吾科技大學,25.07847+121.39516,25.07847,121.39516
林口,25.07862+121.39275,25.07862,121.39275
中山路口,25.07876+121.39127,25.07876,121.39127
林口農會,25.07884+121.39038,25.07884,121.39038
頭湖路口,25.07918+121.38722,25.07918,121.38722
湖南里,25.07903+121.38502,25.07903,121.38502
東湖頭,25.07798+121.38333,25.07798,121.38333
林口國中,25.07496+121.37798,25.07496,121.37798
崇林國中,25.06855+121.36981,25.06855,121.36981
瑞原,24.92768+121.10482,24.92768,121.10482
同安國小,25.02202+121.29913,25.02202,121.29913
上楓樹林,25.02437+121.35218,25.02437,121.35218
阿姆坪生態園區,24.81574+121.3042,24.81574,121.3042
阿姆坪舊碼頭,24.8175+121.31052,24.8175,121.31052
萬聖堂,24.80976+121.2614,24.80976,121.2614
廣興國小,24.94513+121.28366,24.94513,121.28366
過田,25.10609+121.24528,25.10609,121.24528
遠雄自貿港,25.09948+121.25494,25.09948,121.25494
遠雄加值園區,25.0924+121.25481,25.0924,121.25481
環西五族街口,24.9599+121.20719,24.9599,121.20719
宏洲公司,25.00904+121.34492,25.00904,121.34492
民富工業區,24.92924+121.10175,24.92924,121.10175
中原大學,24.95534+121.23493,24.95534,121.23493
中北路口,24.94949+121.22389,24.94949,121.22389
陸光三村,25.00039+121.34235,25.00039,121.34235
精忠五村,25.00317+121.34284,25.00317,121.34284
下湖,25.03966+121.35378,25.03966,121.35378
電台,24.9326+121.17121,24.9326,121.17121
職訓中心,24.93071+121.1724,24.93071,121.1724
單身宿舍,24.92945+121.17196,24.92945,121.17196
富東,24.93045+121.09927,24.93045,121.09927
比佛利山莊,24.9213+121.17166,24.9213,121.17166
獅一路,24.92298+121.17371,24.92298,121.17371
福興社區,24.93227+121.28442,24.93227,121.28442
水頭,24.84733+121.27369,24.84733,121.27369
鳳山街口,25.02478+121.41295,25.02478,121.41295
文成北街口,24.97931+121.25266,24.97931,121.25266
鍾愛社區,24.9808+121.25534,24.9808,121.25534
福華街口,24.97907+121.25776,24.97907,121.25776
忠孝路,24.9782+121.25459,24.9782,121.25459
埔頂八街口,24.90626+121.27767,24.90626,121.27767
清龍新村,24.93217+121.09567,24.93217,121.09567
同心一路,24.99581+121.33173,24.99581,121.33173
劉屋,24.88792+121.22322,24.88792,121.22322
龍平路口,24.88548+121.22181,24.88548,121.22181
上燈潭,24.8806+121.21986,24.8806,121.21986
龍心悅社區,24.87516+121.21826,24.87516,121.21826
捷運山鼻站,25.08043+121.28597,25.08043,121.28597
榮民南路65巷口,24.95579+121.25832,24.95579,121.25832
泰圳路1080巷口,24.90456+121.09548,24.90456,121.09548
龍潭加油站,24.86765+121.21684,24.86765,121.21684
高山活動中心,24.93277+121.15686,24.93277,121.15686
龍潭站,24.86504+121.21112,24.86504,121.21112
下水尾,25.06973+121.26122,25.06973,121.26122
金陵華城,24.92713+121.22751,24.92713,121.22751
柑子園,24.91844+121.23028,24.91844,121.23028
大牛欄,25.06086+121.23461,25.06086,121.23461
東勢國小,24.91164+121.23181,24.91164,121.23181
尖山活動中心,24.94659+121.34277,24.94659,121.34277
永興橋,24.96903+121.27633,24.96903,121.27633
中山東路口,24.95646+121.23186,24.95646,121.23186
泰豐街口,24.97055+121.27559,24.97055,121.27559
新興高中,24.97504+121.27229,24.97504,121.27229
長興活動中心,25.06689+121.26965,25.06689,121.26965
永樂橋,24.93633+121.26863,24.93633,121.26863
竹巷,24.94374+121.279,24.94374,121.279
新興力霸街口,24.95257+121.29034,24.95257,121.29034
今日飯店,24.99086+121.31419,24.99086,121.31419
鴻福寺,24.9961+121.31235,24.9961,121.31235
平興國中,24.95094+121.20665,24.95094,121.20665
北門國小,25.00588+121.30871,25.00588,121.30871
文昌國中,25.00997+121.30811,25.00997,121.30811
瓦斯公司,25.0136+121.30952,25.0136,121.30952
大興路口,25.01513+121.30924,25.01513,121.30924
永吉新村,25.01682+121.30896,25.01682,121.30896
煉油廠,25.03066+121.30417,25.03066,121.30417
下社,24.98926+121.34544,24.98926,121.34544
台森公司,24.98868+121.34666,24.98868,121.34666
合家歡社區,24.98797+121.34782,24.98797,121.34782
白馬社區,24.9878+121.35003,24.9878,121.35003
中壢婦幼館,24.95921+121.20483,24.95921,121.20483
中華窯業,24.99025+121.35716,24.99025,121.35716
福源國小,24.9885+121.35798,24.9885,121.35798
石雲岩,24.98857+121.36111,24.98857,121.36111
石雲寺,24.98862+121.36287,24.98862,121.36287
中一堂,24.98942+121.36867,24.98942,121.36867
圓光橋,24.98901+121.36948,24.98901,121.36948
福山宮,24.98824+121.3725,24.98824,121.3725
龍安國小一,24.99276+121.2733,24.99276,121.2733
關西高中,24.78842+121.1851,24.78842,121.1851
志廣路口,24.9612+121.20753,24.9612,121.20753
玉豐新城,24.79334+121.18799,24.79334,121.18799
南華街,24.99175+121.30788,24.99175,121.30788
三座屋,24.97335+121.19875,24.97335,121.19875
大皇冠社區,25.05474+121.15805,25.05474,121.15805
埔心國小對面,25.04944+121.22395,25.04944,121.22395
三塊厝(埔心村),25.03883+121.22888,25.03883,121.22888
下埔(五權村),25.03448+121.2306,25.03448,121.2306
五塊厝(萊爾富附近),25.02098+121.23074,25.02098,121.23074
埔心(裕興加油站),25.05229+121.22405,25.05229,121.22405
中正東路平安路口,25.05986+121.2094,25.05986,121.2094
華南銀行,25.06257+121.20134,25.06257,121.20134
環西站,24.96442+121.21127,24.96442,121.21127
桃禧航空城酒店,25.06215+121.17554,25.06215,121.17554
南竹南昌路口,25.04291+121.28696,25.04291,121.28696
星河社區,25.04141+121.29176,25.04141,121.29176
甘蔗園橋,25.03535+121.30219,25.03535,121.30219
博愛街口,25.02357+121.26221,25.02357,121.26221
中油街,25.03128+121.23295,25.03128,121.23295
埔心市場,24.91563+121.18424,24.91563,121.18424
真鑽社區,24.9225+121.17699,24.9225,121.17699
歐洲之星,25.05806+121.297,25.05806,121.297
宏國大樓,24.96512+121.21341,24.96512,121.21341
快樂GO社區,25.05822+121.29511,25.05822,121.29511
天悅社區,25.05691+121.29501,25.05691,121.29501
五福宮,25.05368+121.29475,25.05368,121.29475
南崁高中,25.0524+121.29675,25.0524,121.29675
南崁市場,25.04794+121.29377,25.04794,121.29377
新埔國宅,25.02015+121.30825,25.02015,121.30825
台北小城,24.99376+121.36297,24.99376,121.36297
長庚大學,25.0327+121.38984,25.0327,121.38984
源昇公司,25.08519+121.29018,25.08519,121.29018
公溝,25.08507+121.2934,25.08507,121.2934
聯邦公司,25.08448+121.29483,25.08448,121.29483
家畜市場,25.08379+121.29689,25.08379,121.29689
下外社,25.08354+121.30152,25.08354,121.30152
外社,25.0834+121.30249,25.0834,121.30249
外社國小,25.08219+121.30656,25.08219,121.30656
草仔崎,25.08095+121.31057,25.08095,121.31057
頂社,25.07869+121.31658,25.07869,121.31658
社口,25.07619+121.31742,25.07619,121.31742
上頂社,25.07499+121.32166,25.07499,121.32166
第一水上樂園,25.07282+121.32363,25.07282,121.32363
炭窯,25.06671+121.33035,25.06671,121.33035
中豐北路口,24.96626+121.22131,24.96626,121.22131
赤塗崎,25.0677+121.33518,25.0677,121.33518
憲訓中心(埤寮),25.06023+121.36228,25.06023,121.36228
憲訓中心,25.05992+121.36223,25.05992,121.36223
公西,25.06255+121.36144,25.06255,121.36144
南山路口,25.05019+121.29157,25.05019,121.29157
僑愛國小(金蘭醬油博物館),24.91913+121.29173,24.91913,121.29173
湳溝(舊百吉隧道),24.83145+121.30562,24.83145,121.30562
百吉(五路財神廟),24.82532+121.31062,24.82532,121.31062
三和社區,25.07409+121.25967,25.07409,121.25967
中壢區公所,24.96548+121.22752,24.96548,121.22752
同心家園,25.07607+121.25824,25.07607,121.25824
下拔仔林,25.08047+121.256,25.08047,121.256
崁中,25.08232+121.25716,25.08232,121.25716
崁上,25.08461+121.25584,25.08461,121.25584
下店子,25.08993+121.25246,25.08993,121.25246
復興空廚,25.0952+121.24996,25.0952,121.24996
工程處,25.10257+121.24834,25.10257,121.24834
永豐南路,24.9579+121.28076,24.9579,121.28076
新興路口,24.94979+121.284,24.94979,121.284
福爾摩沙社區,24.9399+121.28514,24.9399,121.28514
田寮,25.10444+121.24709,25.10444,121.24709
竹圍活動中心,25.10862+121.24184,25.10862,121.24184
竹圍站,25.11015+121.24188,25.11015,121.24188
農會辦公室,25.10359+121.24192,25.10359,121.24192
業峰,25.10233+121.24084,25.10233,121.24084
國際社區,25.10092+121.23941,25.10092,121.23941
電通館,25.09999+121.23885,25.09999,121.23885
西海洋社區,25.0985+121.23743,25.0985,121.23743
海方厝,25.09201+121.23113,25.09201,121.23113
坡堵,25.09047+121.22969,25.09047,121.22969
下坡堵,25.08789+121.22602,25.08789,121.22602
明門公司,25.08646+121.22392,25.08646,121.22392
埔頂仔,25.08274+121.21841,25.08274,121.21841
後厝國小,25.08096+121.21577,25.08096,121.21577
後厝社區,25.07864+121.21352,25.07864,121.21352
後厝里,25.07678+121.21218,25.07678,121.21218
湳仔,25.06882+121.20139,25.06882,121.20139
大園車站,25.06353+121.19889,25.06353,121.19889
第一高球場,25.07272+121.34261,25.07272,121.34261
井仔厝,25.07874+121.35204,25.07874,121.35204
南勢埔,25.07468+121.36031,25.07468,121.36031
城市之洲社區,25.07504+121.36333,25.07504,121.36333
世貿芳鄰,25.07393+121.37132,25.07393,121.37132
空間樂園社區,25.07563+121.37331,25.07563,121.37331
明興街,24.98241+121.33311,24.98241,121.33311
國光巷,24.98311+121.32921,24.98311,121.32921
中興路口,24.9911+121.33403,24.9911,121.33403
榮民南龍東路口,24.94272+121.25759,24.94272,121.25759
善果林,24.9721+121.1742,24.9721,121.1742
仁愛五福路口,25.05106+121.29331,25.05106,121.29331
聖德路口,24.99248+121.19447,24.99248,121.19447
輝煌世紀,24.98613+121.28134,24.98613,121.28134
后厝,25.04704+121.3772,25.04704,121.3772
葡萄王健康活力能量館,24.93399+121.22536,24.93399,121.22536
電通市,25.05153+121.29266,25.05153,121.29266
宿舍站,24.9295+121.172,24.9295,121.172
上湖一路410巷口,24.90472+121.10161,24.90472,121.10161
華勛國小,24.9534+121.25685,24.9534,121.25685
長興二路口,24.93098+121.27985,24.93098,121.27985
建德公園,24.93092+121.28181,24.93092,121.28181
嘉綠墅社區,25.03754+121.24424,25.03754,121.24424
大竹宏竹路口,25.04037+121.24132,25.04037,121.24132
宏竹宏華路口,25.04669+121.24793,25.04669,121.24793
大園國際高中,25.02113+121.21991,25.02113,121.21991
青昇宮,25.01434+121.2222,25.01434,121.2222
大塚製藥,24.9792+121.24138,24.9792,121.24138
內壢復興宮,24.97622+121.25095,24.97622,121.25095
精忠國宅,24.9703+121.25607,24.9703,121.25607
創價學會,25.01917+121.22237,25.01917,121.22237
內壢國中,24.97361+121.24807,24.97361,121.24807
永強路口,24.97122+121.26073,24.97122,121.26073
桃園榮民醫院,25.00308+121.32396,25.00308,121.32396
永福市場,24.96531+121.25258,24.96531,121.25258
榮安一街,24.96525+121.25417,24.96525,121.25417
普騰街口,24.96477+121.25552,24.96477,121.25552
大學校園,24.96385+121.25279,24.96385,121.25279
快樂國小,25.0188+121.31579,25.0188,121.31579
美華社區活動中心,24.87421+121.30052,24.87421,121.30052
民有十三街口,25.01173+121.31468,25.01173,121.31468
